shipment_id,region,carrier,promised_days,actual_days,shipping_cost
S001,East,Swift,3,3,180
S002,North,Rapid,4,5,210
S003,West,ParcelPro,3,4,195
S004,South,Swift,4,4,220
S005,East,Rapid,3,5,205
S006,North,ParcelPro,5,5,240
S007,West,Swift,3,2,175
S008,South,Rapid,4,6,230
S009,East,ParcelPro,5,4,235
S010,North,Swift,3,3,185
S011,West,Rapid,4,5,225
S012,South,ParcelPro,5,5,245
S013,East,Swift,3,4,190
S014,North,Rapid,4,4,215
S015,West,ParcelPro,5,6,250
S016,South,Swift,3,3,200
S017,East,Rapid,4,6,220
S018,North,ParcelPro,5,4,238
S019,West,Swift,3,3,188
S020,South,Rapid,4,5,228
