customer_id,contract,tenure_months,monthly_charge,support_tickets,churned
C001,Monthly,2,799,4,Yes
C002,Annual,18,649,1,No
C003,Monthly,5,899,3,Yes
C004,Two-Year,32,599,0,No
C005,Monthly,9,749,2,Yes
C006,Annual,15,699,1,No
C007,Monthly,1,999,5,Yes
C008,Two-Year,41,549,0,No
C009,Annual,22,679,2,No
C010,Monthly,7,849,3,Yes
C011,Monthly,14,729,2,No
C012,Two-Year,36,579,1,No
C013,Annual,11,719,3,Yes
C014,Monthly,3,949,4,Yes
C015,Two-Year,48,529,0,No
C016,Annual,27,639,1,No
C017,Monthly,19,699,2,No
C018,Annual,6,799,4,Yes
C019,Two-Year,30,589,1,No
C020,Monthly,8,879,3,Yes
