review_id,product,rating,review
R01,Earbuds,5,Great sound and very comfortable
R02,Earbuds,2,Battery life is poor and connection drops
R03,Keyboard,4,Good build and smooth typing
R04,Keyboard,3,Average product but delivery was fast
R05,Power Bank,5,Excellent battery backup and compact design
R06,Power Bank,1,Stopped working and support was slow
R07,Smart Watch,4,Useful features and bright display
R08,Smart Watch,2,Inaccurate tracking and weak battery
R09,Speaker,5,Amazing sound and easy setup
R10,Speaker,3,Sound is good but the buttons feel cheap
R11,Webcam,4,Clear video and simple installation
R12,Webcam,2,Image is blurry in low light
R13,Earbuds,4,Good value and quick pairing
R14,Keyboard,5,Excellent quality and comfortable keys
R15,Power Bank,3,Works well but charges slowly
R16,Smart Watch,1,Display failed and service was poor
