date,order_id,category,product,units,unit_price,region
2026-01-04,O001,Electronics,Earbuds,3,1499,East
2026-01-09,O002,Stationery,Notebook,12,120,North
2026-01-15,O003,Home,Desk Lamp,4,899,West
2026-01-22,O004,Electronics,Power Bank,5,1299,South
2026-02-03,O005,Stationery,Pen Set,15,180,East
2026-02-11,O006,Home,Storage Box,8,499,North
2026-02-17,O007,Electronics,Keyboard,3,1799,West
2026-02-25,O008,Home,Water Bottle,10,349,South
2026-03-05,O009,Electronics,Smart Watch,2,3499,East
2026-03-12,O010,Stationery,File Folder,20,75,North
2026-03-19,O011,Home,Wall Clock,5,699,West
2026-03-28,O012,Electronics,Mouse,7,799,South
2026-04-02,O013,Stationery,Marker Set,10,260,East
2026-04-10,O014,Home,Cushion,6,549,North
2026-04-18,O015,Electronics,USB Hub,4,999,West
2026-04-26,O016,Home,Desk Organizer,7,449,South
2026-05-06,O017,Electronics,Speaker,3,2199,East
2026-05-13,O018,Stationery,Sketchbook,9,220,North
2026-05-21,O019,Home,Table Fan,4,1599,West
2026-05-29,O020,Electronics,Webcam,3,2499,South
2026-06-04,O021,Stationery,Calculator,5,650,East
2026-06-11,O022,Home,Extension Board,6,799,North
2026-06-18,O023,Electronics,Headphones,4,1899,West
2026-06-27,O024,Home,Plant Pot,9,299,South
