employee_id,department,tenure_years,satisfaction,overtime,attrition
E001,Engineering,1,2,Yes,Yes
E002,Engineering,4,4,No,No
E003,Sales,2,3,Yes,Yes
E004,HR,6,4,No,No
E005,Operations,3,3,No,No
E006,Sales,1,2,Yes,Yes
E007,Engineering,5,5,No,No
E008,Operations,2,2,Yes,Yes
E009,HR,4,4,No,No
E010,Sales,7,4,No,No
E011,Engineering,2,3,Yes,No
E012,Operations,8,5,No,No
E013,Sales,3,2,Yes,Yes
E014,HR,1,3,No,No
E015,Engineering,6,4,No,No
E016,Operations,1,2,Yes,Yes
E017,Sales,5,4,No,No
E018,HR,3,5,No,No
E019,Engineering,1,2,Yes,Yes
E020,Operations,4,3,No,No
