day,pillar,format,idea,cta
1,Brand,Reel,Brand mood film,Follow
2,Product,Carousel,Top 5 pieces,Save
3,Community,Story,Style poll,Vote
4,Education,Reel,3 ways to style tee,Save
5,Product,Post,Hero product,Shop
6,Trust,Story,FAQ sizing,Reply
7,Community,UGC repost,Customer look,Tag us
8,Product,Reel,New drop teaser,Turn notifications on
9,Education,Carousel,Color pairing guide,Save
10,Brand,Post,Founder note,Comment
11,Product,Story,Close-up details,Tap link
12,Community,Reel,Street-style montage,Share
13,Education,Carousel,Fabric care tips,Save
14,Product,Post,Weekend bundle,Shop
15,Trust,Story,Reviews,DM questions
16,Brand,Reel,Behind the brand,Follow
17,Product,Carousel,Best sellers,Save
18,Community,Story,This-or-that outfits,Vote
19,Education,Reel,Layering tip,Save
20,Product,Post,Limited stock reminder,Shop
21,Trust,Carousel,Shipping and returns FAQ,Save
22,Brand,Story,Moodboard,React
23,Product,Reel,Outfit transition,Share
24,Community,Post,Customer feature,Tag friend
25,Education,Carousel,Fit guide,Save
26,Product,Story,Restock alert,Tap link
27,Brand,Reel,Campaign visual,Follow
28,Trust,Post,Review quote,Shop
29,Product,Carousel,Month-end picks,Save
30,Conversion,Reel,Final offer recap,Shop now
